step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
602,108594,602,1.248711567,0,0.63125
603,108691,603,1.128451867,0,0.658227848
604,109268,604,1.765929394,0,0.602862254
605,109605,605,1.771490869,0,0.557632399
606,109678,606,2.173429687,0,0.410714286
607,109783,607,1.328453687,0,0.571428571
608,109992,608,1.124005415,0,0.685714286
609,110097,609,1.724690549,0,0.549450549
610,110194,610,1.079465358,0,0.626666667
611,110419,611,2.085131518,0,0.468292683
612,110540,612,1.16492034,0,0.567901235
613,110645,613,1.727502163,0,0.527472527
614,110782,614,1.222942152,0,0.623931624
615,111039,615,1.480597463,0,0.598290598
616,111136,616,1.879809787,0,0.465909091
617,111401,617,1.657106361,0,0.622568093
618,111730,618,1.199757081,0,0.726384365
619,111995,619,1.505179946,0,0.556034483
620,112140,620,1.14849544,0,0.682170543
621,112213,621,1.514316774,0,0.569230769
622,112302,622,1.026422,0,0.689189189
623,112343,623,1.703828469,0,0.545454545
624,112536,624,1.336869595,0,0.649717514
625,112585,625,0.305018321,0,0.87804878
626,112858,626,1.428060668,0,0.658914729
627,113131,627,1.664881717,0,0.569230769
628,113236,628,1.45122947,0,0.6
629,113333,629,1.626759078,0,0.513157895
630,113590,630,1.96577438,0,0.566115702
631,113943,631,1.998695765,0,0.526162791
632,114152,632,1.749699132,0,0.537688442
633,114217,633,1.028611124,0,0.673076923
634,114242,634,0.462639122,0,0.75
635,114331,635,1.371497529,0,0.641025641
636,114356,636,0.564970947,0,0.692307692
637,114421,637,1.03761325,0,0.653061224
638,114582,638,1.737557799,0,0.561290323
639,114639,639,1.772151701,0,0.4375
640,115272,640,1.567976253,0,0.663934426
641,115385,641,1.273018368,0,0.643678161
642,115466,642,0.679954846,0,0.75862069
643,115843,643,1.498179412,0,0.650969529
644,116140,644,1.656913968,0,0.582733813
645,116301,645,1.251274682,0,0.630136986
646,116438,646,1.573902203,0,0.548387097
647,116783,647,1.484919438,0,0.618902439
648,116872,648,1.49564579,0,0.594936709
649,116905,649,0.103036488,0,0.857142857
650,117082,650,1.124565519,0,0.668789809
651,117235,651,1.938308269,0,0.492857143
652,117460,652,1.723352282,0,0.550724638
653,117541,653,1.547518673,0,0.470588235
654,117790,654,1.215240432,0,0.631578947
655,117951,655,1.748866664,0,0.575163399
656,118056,656,1.272714126,0,0.604166667
657,118201,657,1.060437639,0,0.687022901
658,118362,658,0.883979898,0,0.753521127
659,118555,659,1.08062295,0,0.626506024
